Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke,Gearbox,Bore (mm),Stroke (mm),Fuel capacity (lts),Fuel system,Fuel control,Cooling system,Transmission type,Dry weight (kg),Wheelbase (mm),Seat height (mm),Front brakes,Rear brakes,Front tire,Rear tire,Front suspension,Rear suspension,Color options
ajp,pr3 supermoto 125,2018,Super motard,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Air,Chain,104.0,1320.0,810.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto 125,2020,Super motard,,125.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Air,Chain,104.0,1360.0,840.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto 240,2018,Super motard,,233.0,20.0,15.5,Single cylinder, four-stroke,5-speed,,,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Oil & air,Chain,108.0,1320.0,810.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto 240,2020,Super motard,,233.0,20.0,15.5,Single cylinder, four-stroke,5-speed,69.0,62.2,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Oil & air,Chain,108.0,1360.0,840.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto pro 125,2018,Super motard,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Air,Chain,104.0,1320.0,840.0,Single disc,Single disc. 2-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto pro 125,2020,Super motard,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Air,Chain,104.0,1360.0,840.0,Single disc,Single disc. 2-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto pro 240,2018,Super motard,,233.0,20.0,15.5,Single cylinder, four-stroke,5-speed,,,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Oil & air,Chain,108.0,1320.0,810.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr3 supermoto pro 240,2020,Super motard,,233.0,20.0,15.5,Single cylinder, four-stroke,5-speed,69.0,62.2,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Oil & air,Chain,108.0,1320.0,840.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"AJP, fully adjustable",Ollé progressive system,White/red/grey
ajp,pr4 125 enduro,2006,Enduro / offroad,3.5,124.0,12.5,,Single cylinder, four-stroke,5-speed,56.5,49.5,8.0,"Carburettor. Sheng Wey PD5, 26mm",Single Overhead Cams (SOHC),Air,Chain,105.0,1410.0,910.0,Single disc,Single disc,90/90-21 ,120/80-18 ,Hidraulic fork,"Single shock absorber progressive action,",
ajp,pr4 125 enduro,2007,Enduro / offroad,3.2,124.1,12.4,,Single cylinder, four-stroke,5-speed,56.5,49.5,8.0,"Carburettor. Sheng Wey PD5, 26mm",Single Overhead Cams (SOHC),Air,,105.0,1410.0,910.0,Single disc,Single disc,90/90-21 ,120/80-18 ,Hydraulic fork,"Single shock absorber progressive action,",
ajp,pr4 125 enduro,2008,Enduro / offroad,3.1,124.0,12.5,,Single cylinder, four-stroke,5-speed,56.5,49.5,,,Single Overhead Cams (SOHC),Air,,101.0,1410.0,910.0,Single disc. 2 piston calliper,Single disc. 4 piston calliper,90/90-21 ,120/80-18 ,"Hydraulic fork, stroke 260mm","Mono shock progressive action, stroke 260mm",
ajp,pr4 125 enduro,2010,Enduro / offroad,3.3,124.0,12.5,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.5,Carburettor,Single Overhead Cams (SOHC),Air,Chain,105.0,1410.0,910.0,Single disc. 2 piston calliper,Single disc. 4 piston calliper,90/90-21 ,120/90-18 ,"Paioli Hydraulic fork,",Sachs mono shock progressive action,Black
ajp,pr4 125 enduro,2015,Enduro / offroad,3.4,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,,,7.0,Carburettor,Overhead Cams (OHC),Air,Chain,105.0,1380.0,920.0,Single disc,Single disc. 2-piston caliper,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs progressive system,"White, black"
ajp,pr4 125 enduro pro,2015,Enduro / offroad,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,,,7.0,Carburettor,Overhead Cams (OHC),Air,Chain,,1380.0,920.0,Single disc,Single disc. 2-piston caliper,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs progressive system,White/red
ajp,pr4 125 enduro pro,2019,Enduro / offroad,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.0,49.5,7.0,Carburettor,Overhead Cams (OHC),Air,Chain,,1380.0,920.0,Single disc,Single disc. 2-piston caliper,90/90-21 ,120/90-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs progressive system,White/red
ajp,pr4 125 sm,2010,Super motard,2.9,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,59.5,49.5,7.5,Carburettor. Walbro 30 mm,Single Overhead Cams (SOHC),Air,Chain,104.0,1410.0,910.0,Single disc. 2 piston caliper,Single disc. 2 piston caliper,100/80-17 ,130/70-17 ,"Paioli Hydraulic fork,",Sachs mono shock progressive action,
ajp,pr4 125 supermotard,2005,Super motard,3.4,125.0,14.8,,Single cylinder, four-stroke,5-speed,,,9.0,Carburettor,Overhead Cams (OHC),Air,Chain,99.0,1410.0,850.0,Single disc,Single disc,,,Telescopic fork,Single shock-absorber of progresive action,
ajp,pr4 125 supermotard,2006,Super motard,3.1,124.0,12.7,,Single cylinder, four-stroke,5-speed,56.5,49.5,8.0,,Single Overhead Cams (SOHC),Air,,101.0,1410.0,905.0,Single disc,Single disc,"100/80-,21 ",130/70-17 ,"Hidraulic fork, d.41, stroke 260mm","Single shock absorber progressive action, stroke   260mm",
ajp,pr4 125 supermotard,2007,Super motard,3.1,124.0,12.6,,Single cylinder, four-stroke,5-speed,56.5,49.5,8.0,Carburettor. Sheng Wey PB5,Single Overhead Cams (SOHC),Air,,101.0,1410.0,905.0,Single disc,Single disc,"100/80-,21 ",130/70-17 ,"Hidraulic fork,",Single shock absorber progressive action.,
ajp,pr4 125 supermoto,2008,Super motard,,124.0,12.5,,Single cylinder, four-stroke,5-speed,56.5,49.5,,,,Air,,101.0,1410.0,850.0,Single disc. 2 piston calliper,Single disc. 4 piston calliper,100/80-17 ,130/70-17 ,"Hydraulic fork, stroke 260mm","Mono shock progressive action, stroke 260mm",
ajp,pr4 125 supermoto,2015,Super motard,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,,,7.5,Carburettor,Overhead Cams (OHC),Air,Chain,,1389.0,840.0,Single disc. 2-piston calipers,Single disc,100/80-17 ,130/70-17 ,"Marzocchi 40mm, multi-adjustable",Progressive system,White
ajp,pr4 125 trial,2005,Trial,3.7,125.0,14.8,,Single cylinder, four-stroke,5-speed,,,9.0,Carburettor,Overhead Cams (OHC),Air,Chain,98.0,1410.0,910.0,Single disc,Single disc,90/90-21 ,120/80-18 ,Telescopic fork,Single shock-absorber of progresive action,
ajp,pr4 200 enduro,2006,Enduro / offroad,3.4,198.0,17.7,15.5,Single cylinder, four-stroke,5-speed,69.0,53.0,,,Single Overhead Cams (SOHC),Oil & air,,105.0,1410.0,910.0,Single disc,Single disc,90/90-21 ,120/90-18 ,"Paioli Hidraulic fork, d.41, stroke 260mm","Paioli shock absorber, progressive action, stroke 260mm",
ajp,pr4 200 enduro,2007,Enduro / offroad,3.5,198.2,18.0,15.5,Single cylinder, four-stroke,5-speed,69.0,53.0,8.0,Carburettor. Walbro,Single Overhead Cams (SOHC),Oil & air,Chain,105.0,1410.0,910.0,Single disc,Single disc,90/90-21 ,120/90-18 ,"Paioli Hidraulic fork, d.41, stroke 260mm","Paioli shock absorber, progressive action, stroke 260mm",
ajp,pr4 200 enduro,2008,Enduro / offroad,3.6,198.0,17.7,15.5,Single cylinder, four-stroke,,69.0,53.0,,Carburettor. Walbro - 30mm,Single Overhead Cams (SOHC),Oil & air,,105.0,1410.0,910.0,Single disc. 2 piston calliper,Single disc. 4 piston calliper,90/90-21 ,120/80-18 ,"Hydraulic fork, stroke 260mm","Mono shock progressive action, stroke 260mm",
ajp,pr4 200 enduro,2010,Enduro / offroad,2.9,198.0,18.0,13.2,Single cylinder, four-stroke,,69.0,53.0,,Carburettor. Walbro - 30mm,Single Overhead Cams (SOHC),Oil & air,,106.0,1410.0,910.0,Single disc. 2 piston calliper,Single disc. 4 piston calliper,90/90-21 ,120/80-18 ,"Paioli hydraulic fork,",Sachs mono shock progressive action,Black/red
ajp,pr4 200 sm,2010,Super motard,3.1,198.0,18.0,13.2,Single cylinder, four-stroke,5-speed,69.0,53.0,7.5,"Carburettor. Walbro, 30mm",Single Overhead Cams (SOHC),Oil & air,,106.0,1410.0,910.0,Single disc. double piston calliper,Single disc. double piston calliper,100/80-17 ,130/70-17 ,"Paioli hydraulic fork,",ZF Sachs mono shock progressive action,Black/red
ajp,pr4 240 enduro,2015,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.5,Carburettor,Overhead Cams (OHC),Oil & air,Chain,,1389.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",Progressive system,"White, black"
ajp,pr4 240 enduro pro,2015,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.5,Carburettor,Overhead Cams (OHC),Oil & air,Chain,,1380.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs p. system,White/red
ajp,pr4 240 extreme,2015,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.5,Carburettor,Overhead Cams (OHC),Oil & air,Chain,,1380.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF sacchs progressive system,"White, black"
ajp,pr4 240 supermoto,2015,Super motard,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.0,Carburettor,Overhead Cams (OHC),Oil & air,Chain,115.0,1380.0,870.0,Single disc. 2-piston calipers,Single disc,100/80-17 ,130/70-17 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs progressive system,"White, black"
ajp,pr4 enduro,2003,Enduro / offroad,3.2,124.0,12.6,,Single cylinder, four-stroke,,,,9.0,,,,,99.0,1410.0,910.0,,,,,,,"Blue, Black"
ajp,pr4 enduro pro 125,2018,Enduro / offroad,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30mm,Overhead Cams (OHC),Air,Chain,,1380.0,920.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs progressive system,White/red/black
ajp,pr4 enduro pro 125,2020,Enduro / offroad,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30mm,Single Overhead Cams (SOHC),Air,Chain,,1360.0,920.0,Single disc. 2-piston caliper,Single disc. Single-piston caliper,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs progressive system,White/red/black
ajp,pr4 enduro pro 240,2018,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.5,Carburettor. 30 mm,Overhead Cams (OHC),Oil & air,Chain,,1380.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs p. system,White/red/black
ajp,pr4 enduro pro 240,2020,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.5,Carburettor. 30 mm,Single Overhead Cams (SOHC),Oil & air,Chain,,1360.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,"Marzocchi 40mm, multi-adjustable",ZF Sachs p. system,White/red/black
ajp,pr4 extreme 240,2018,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Oil & air,Chain,,1380.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,ZF Sachs Ø48mm fully adjustable,ZF Sachs with res. fully adjustable,White/red/black
ajp,pr4 extreme 240,2020,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Oil & air,Chain,,1360.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,ZF Sachs Ø48mm fully adjustable,ZF Sachs with res. fully adjustable,White/red/black
ajp,pr4 supermoto,2003,Super motard,3.3,124.0,12.6,,Single cylinder, four-stroke,,,,9.0,,,,,99.0,1410.0,850.0,,,,,,,"Blue, Black"
ajp,pr4 supermoto pro 125,2018,Super motard,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.0,49.5,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Air,Chain,,1380.0,870.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"Marzocchi 40mm, fully adjustable","ZF Sachs progressive system, fully adjustable",White/red/grey
ajp,pr4 supermoto pro 125,2020,Super motard,,124.0,12.6,8.5,Single cylinder, four-stroke,5-speed,56.5,49.5,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Air,Chain,,1360.0,870.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,AJP Ø43 mm  – fully adjustable,"ZF Sachs progressive system, fully adjustable",White/red/grey
ajp,pr4 supermoto pro 240,2018,Super motard,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Oil & air,Chain,115.0,1380.0,870.0,Single disc. 2-piston calipers,Single disc,100/80-17 ,130/70-17 ,"Marzocchi 40mm, fully adjustable","ZF Sachs progressive system, fully adjustable",White/red/black
ajp,pr4 supermoto pro 240,2020,Super motard,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.2,7.0,Carburettor. 30 mm,Single Overhead Cams (SOHC),Oil & air,Chain,115.0,1360.0,870.0,Single disc. 2-piston calipers,Single disc,100/80-17 ,130/70-17 ,AJP Ø43 mm  – fully adjustable,"ZF Sachs progressive system, fully adjustable",White/red/black
ajp,pr4 ultrapassar 240,2018,Enduro / offroad,,233.0,20.0,18.0,Single cylinder, four-stroke,5-speed,69.0,62.5,7.0,Carburettor. 30 mm,Overhead Cams (OHC),Oil & air,Chain,,1380.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,120/80-18 ,Marzocchi Ø40mm fully adjustable,ZF Sachs progressive system,White/red/black
ajp,pr5 250 enduro,2015,Enduro / offroad,3.5,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Oil & air,Chain,,1460.0,940.0,Single disc,Single disc,90/90-21 ,120/80-18 ,"ZF Sachs 48 mm, multi adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 250 enduro,2019,Enduro / offroad,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Oil & air,Chain,,1460.0,940.0,Single disc,Single disc,90/90-21 ,120/80-18 ,"ZF Sachs 48 mm, multi adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 250 enduro,2020,Enduro / offroad,3.7,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Single Overhead Cams (SOHC),Oil & air,Chain,,1465.0,940.0,Single disc,Single disc,90/90-21 ,120/80-18 ,"ZF Sachs 48 mm, multi adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 250 extrem,2015,Enduro / offroad,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Oil & air,Chain,,1460.0,940.0,Single disc. 2-piston,Single disc. Single-piston,90/90-21 ,120/80-18 ,"Marzocchi 48 mm, adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 250 extrem,2019,Enduro / offroad,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Oil & air,Chain,,1460.0,940.0,Single disc. 2-piston,Single disc. Single-piston,90/90-21 ,120/90-18 ,"ZF Sats 48 mm, adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 250 extrem,2020,Enduro / offroad,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Single Overhead Cams (SOHC),Oil & air,Chain,,1465.0,940.0,Single disc. 2-piston,Single disc. Single-piston,90/90-21 ,120/90-18 ,"ZF Sats 48 mm, adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 250 supermoto,2015,Super motard,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,,,7.5,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Liquid,Chain,,1460.0,940.0,Single disc. 2-piston calipers,Single disc,100/80-17 ,130/70-17 ,"ZF Sachs 48 mm, multi adjustable","ZF Sachs,  multi adjustable",White
ajp,pr5 enduro 250,2018,Enduro / offroad,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.0,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Oil & air,Chain,,1460.0,940.0,Single disc,Single disc,90/90-21 ,120/80-18 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs progressive system with reser, fully adjustable",White/red/gray
ajp,pr5 extreme 250,2018,Enduro / offroad,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.0,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Oil & air,Chain,,1460.0,940.0,Single disc. 2-piston,Single disc. Single-piston,90/90-21 ,120/80-18 ,"ZF Sachs Ø48mm, fully adjustable","ZF Sachs progressive system with reser. ,  fully adjustable",White/red/grey
ajp,pr5 supermoto 250,2018,Super motard,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,,,7.0,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Liquid,Chain,,1460.0,890.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs,  fully adjustable",White/red/grey
ajp,pr5 supermoto 250,2019,Super motard,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Overhead Cams (OHC),Liquid,Chain,,1460.0,890.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs,  fully adjustable",White/red/grey
ajp,pr5 supermoto 250,2020,Super motard,,249.0,27.5,23.0,Single cylinder, four-stroke,6-speed,77.0,53.6,7.5,Injection. Delphi fuel injection system 34mm,Single Overhead Cams (SOHC),Liquid,Chain,,1465.0,890.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,100/80-17 ,130/70-17 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs,  fully adjustable",White/red/grey
ajp,pr7,2015,Prototype / concept model,,659.7,48.0,58.0,Single cylinder, four-stroke,5-speed,100.0,74.4,17.0,Injection. Mikuni,,Liquid,Chain,155.0,1532.0,920.0,Single disc. 2-piston calipers,Single disc,90/90-21 ,140/80-18 ,Marzocchi inverted front ,Ohlins shock,"White, black"
ajp,pr7,2021,Sport,3.6,600.0,,58.0,Single cylinder, four-stroke,5-speed,100.0,76.4,17.0,Injection. Mikuni,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,,1540.0,920.0,Single disc. Brembo 2-piston calipers,Single disc. Brembo single-piston ,90/90-21 ,140/80-18 ,ZF Sachs Ø48 mm close-circuit,ZF Sachs prog. system ,"White, black"
ajp,pr7 adventure 650,2018,Enduro / offroad,3.7,659.7,48.0,58.0,Single cylinder, four-stroke,6-speed,100.0,76.4,17.0,Injection. Delphi,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,155.0,1540.0,920.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,90/90-21 ,140/80-18 ,ZF Sachs Ø48mm fully adjustable,ZF Sachs progressive system with reservatory fully adjustable,White/red/black
ajp,pr7 adventure 650,2019,Enduro / offroad,3.4,659.7,48.0,58.0,Single cylinder, four-stroke,6-speed,100.0,76.4,17.0,Injection. Delphi,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,155.0,1540.0,920.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,90/90-21 ,140/80-18 ,ZF Sachs Ø48mm fully adjustable,ZF Sachs progressive system with reservatory fully adjustable,White/red/black
ajp,pr7 adventure 650,2020,Enduro / offroad,3.6,600.0,48.0,58.0,Single cylinder, four-stroke,6-speed,100.0,76.4,17.0,Injection. Delphi,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain,155.0,1540.0,920.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,90/90-21 ,140/80-18 ,ZF Sachs Ø48mm fully adjustable,ZF Sachs progressive system with reservatory fully adjustable,White/red/black
ajp,spr 250,2021,Enduro / offroad,3.2,249.0,,,Single cylinder, four-stroke,6-speed,77.0,53.6,9.5,Injection. Delphi fuel injection system 34mm,Single Overhead Cams (SOHC),Liquid,Chain,,1450.0,960.0,Single disc,Single disc,90/90-21 ,120/80-18 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs progressive system with reser, fully adjustable",White/Grey/Red
ajp,spr 250,2022,Enduro / offroad,,249.0,,,Single cylinder, four-stroke,6-speed,77.0,53.6,9.5,"Injection. Delphi, 34mm",Single Overhead Cams (SOHC),Liquid,Chain,,1450.0,960.0,Single disc. 2-piston calipers,Single disc. Single piston,90/90-21 ,120/80-18 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs progressive system with reser, fully adjustable",White/Grey/Red/Yellow
ajp,spr 310r,2021,Enduro / offroad,,297.6,,,Single cylinder, four-stroke,6-speed,77.0,53.6,9.5,Injection. Get fuel injection 45mm,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,,1450.0,960.0,Single disc,Single disc,90/90-21 ,140/80-18 ,"ZF Sachs 48 mm, fully adjustable","ZF Sachs progressive system with reser, fully adjustable",White/Grey/Red
ajp,spr 510r,2021,Enduro / offroad,3.6,501.0,38.0,,Single cylinder, four-stroke,6-speed,97.0,67.5,9.5,Injection. Get fuel injection 45mm,Double Overhead Cams/Twin Cam (DOHC),Oil & air,Chain,119.0,1450.0,960.0,Single disc. 2-piston calipers,Single disc. Single-piston caliper,90/90-21 ,140/80-18 ,ZF Sachs Ø48mm fully adjustable,ZF Sachs progressive system with reservatory fully adjustable,White/red/black
ajs,125 eco commuter,2010,Allround,2.8,124.0,10.1,,Single cylinder, four-stroke,5-speed,54.0,54.0,,Carburettor,Overhead Cams (OHC),Air,Chain,114.0,1080.0,760.0,Single disc,Expanding brake (drum brake),2.75-18 ,90/90-18 ,Telescopic fork,"Adjustable load, oil damped twin  shocks","Black, blue, red"
ajs,125 eco commuter,2011,Allround,3.2,124.0,10.1,,Single cylinder, four-stroke,5-speed,54.0,54.0,10.0,Carburettor,Overhead Cams (OHC),Air,Chain,114.0,1080.0,760.0,Single disc,Expanding brake (drum brake),2.75-18 ,90/90-18 ,Telescopic fork,"Adjustable load, oil damped twin  shocks","Black, blue"
ajs,16m,1954,Allround,,348.0,16.0,,Single cylinder, four-stroke,,,,,Carburettor. Amal,Overhead Valves (OHV),Air,Chain,173.0,1400.0,810.0,Expanding brake (drum brake),Expanding brake (drum brake),19-19 ,19-19 ,Teledraulic fork,Swinging arm ,
ajs,71 desert scrambler 125,2021,Allround,,124.0,9.8,9.5,Single cylinder, four-stroke,5-speed,54.0,54.0,13.5,Carburettor,Overhead Cams (OHC),Air,Chain,,1340.0,760.0,Single disc,Single disc,110/70-17 ,130/70-17 ,USD fork,,"Forged Black, Blazing Orange, Sundown Metallic Red"
ajs,71 desert scrambler 125,2022,Allround,,124.0,9.8,9.5,Single cylinder, four-stroke,5-speed,54.0,54.0,13.5,,Overhead Cams (OHC),Air,Chain,,1340.0,760.0,Single disc. Combined Braking System,Single disc,110/70-17 ,130/70-17 ,USD fork,,"Forged Black, Blazing Orange, Sundown Metallic Red"
ajs,a9 flight 125,2015,Scooter,2.8,124.0,7.4,,Single cylinder, four-stroke,Automatic,52.4,57.8,4.7,Carburettor,,Air,Belt,107.0,1382.0,820.0,Single disc,Single disc,3.50-13 ,3.50-13 ,Telescopic fork,Swing arm,"Red, blue"
ajs,bobber 125,2011,Custom / cruiser,2.9,124.6,11.0,,Twin, four-stroke,5-speed,44.0,40.0,8.0,Carburettor,,Liquid,Chain,161.0,1670.0,640.0,Double disc,Single disc,80/90-21 ,160/80-16 ,Telescopic fork,Hardtailer rear end. Seat shocks,Black
ajs,bobber 125,2015,Custom / cruiser,,124.6,11.0,,Twin, four-stroke,5-speed,44.0,40.0,8.0,Carburettor,,Liquid,Chain,161.0,1670.0,640.0,Double disc,Single disc,80/90-21 ,160/80-16 ,Telescopic fork,Hardtailer rear end. Seat shocks,Black
ajs,bobber 125,2016,Custom / cruiser,,124.6,11.0,,Twin, four-stroke,5-speed,44.0,40.0,8.0,Carburettor,Overhead Cams (OHC),Liquid,Chain,161.0,1670.0,640.0,Double disc,Single disc,80/90-21 ,160/80-16 ,Telescopic fork,Hardtailer rear end. Seat shocks,Black
ajs,cadwell 125,2018,Sport,,124.0,9.9,,Single cylinder, four-stroke,5-speed,54.0,54.0,11.2,Injection,Overhead Cams (OHC),Air,Chain,113.0,1330.0,740.0,Double disc,Single disc,110/70-17 ,130/70-17 ,Telescopic fork,Twin shocks,"Black, white"
ajs,cadwell 125,2020,Sport,,124.0,9.9,9.5,Single cylinder, four-stroke,5-speed,54.0,54.0,11.2,Injection,Overhead Cams (OHC),Air,Chain,113.0,1330.0,740.0,Double disc,Single disc,110/70-17 ,130/70-17 ,Telescopic fork,Twin shocks,"Silver Fox, Jet Black"
